fid,gid,PROVINCIA,DEPARTAMENTO,JUL2020_max,AGO2020_max,SEP2020_max,OCT2020_max,NOV2020_max,DIC2020_max,ENE2021_max,FEB2021_max,MAR2021_max,ABR2021_max,MAY2021_max,JUN2021_max,JUL2021_max,AGO2021_max,SEP2021_max,OCT2021_max,NOV2021_max,DIC2021_max,ENE2022_max,FEB2022_max,MAR2022_max,ABR2022_max,MAY2022_max,JUN2022_max,JUL2022_max,AGO2022_max,SEP2022_max,OCT2022_max,NOV2022_max,DIC2022_max,ENE2023_max,FEB2023_max,MAR2023_max,ABR2023_max,MAY2023_max,JUN2023_max
1,1064,Buenos Aires,Saladillo,0,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,2,2,1,0,0,0,1,2,3,4,5,7,8,9,9,9,9,9,9
2,1065,Buenos Aires,Las Flores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,1,1,1,2,4,7,7,8,8,8,8,6,6
3,1066,Buenos Aires,Rojas,0,1,2,3,3,4,5,6,5,4,2,1,0,0,0,0,1,2,2,1,0,0,1,3,5,6,7,8,9,9,9,9,9,9,8,7
4,1067,Buenos Aires,Escobar,0,0,0,0,1,2,3,3,3,3,2,3,5,6,6,5,4,5,6,6,5,4,3,3,3,4,6,8,9,9,9,9,9,9,7,5
5,1068,Buenos Aires,José C. Paz,0,0,0,0,1,2,3,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
6,1069,Buenos Aires,San Antonio de Areco,0,0,0,0,1,2,3,3,3,3,2,1,0,0,0,1,3,5,6,5,3,1,1,2,3,4,6,8,9,9,9,9,9,9,7,5
7,1070,Buenos Aires,Maipú,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,1,1,1,1,3,5,5,4,3,3,3,2,1
8,1072,Buenos Aires,Moreno,0,0,0,0,0,1,2,3,3,2,1,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
9,1073,Buenos Aires,La Matanza,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
10,1074,Buenos Aires,General Paz,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,2,3,6,8,9,9,9,9,9,7,5
