fid,gid,objeto,fna,gna,nam,in1,JUL2020_median,AGO2020_median,SEP2020_median,OCT2020_median,NOV2020_median,DIC2020_median,ENE2021_median,FEB2021_median,MAR2021_median,ABR2021_median,MAY2021_median,JUN2021_median,JUL2021_median,AGO2021_median,SEP2021_median,OCT2021_median,NOV2021_median,DIC2021_median,ENE2022_median,FEB2022_median,MAR2022_median,ABR2022_median,MAY2022_median,JUN2022_median,JUL2022_median,AGO2022_median,SEP2022_median,OCT2022_median,NOV2022_median,DIC2022_median,ENE2023_median,FEB2023_median,MAR2023_median,ABR2023_median,MAY2023_median,JUN2023_median
1,1064,Departamento,Partido de Saladillo,Partido,Saladillo,06707,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,2,4,7,7,7,7,8,7,6,6
2,1065,Departamento,Partido de Las Flores,Partido,Las Flores,06455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,3,5,5,5,6,7,7,5,4
3,1066,Departamento,Partido de Rojas,Partido,Rojas,06686,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,1,2,2,1,0,0,1,3,5,6,7,8,9,9,9,9,9,9,8,7
4,1067,Departamento,Partido de Escobar,Partido,Escobar,06252,0,0,0,0,1,2,3,3,2,1,0,1,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
5,1068,Departamento,Partido de José C. Paz,Partido,José C. Paz,06412,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
6,1069,Departamento,Partido de San Antonio de Areco,Partido,San Antonio de Areco,06735,0,0,0,0,1,2,3,3,3,3,2,1,0,0,0,1,3,5,6,5,3,1,1,2,3,4,6,8,9,9,9,9,9,9,7,5
7,1070,Departamento,Partido de Maipú,Partido,Maipú,06511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,1,3,5,5,4,3,3,3,2,1
8,1072,Departamento,Partido de Moreno,Partido,Moreno,06560,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
9,1073,Departamento,Partido de La Matanza,Partido,La Matanza,06427,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
10,1074,Departamento,Partido de General Paz,Partido,General Paz,06343,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,2,3,6,8,7,6,6,8,9,7,5
11,1075,Departamento,Partido de General Guido,Partido,General Guido,06308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,5,4,3,3,3,2,1
12,1076,Departamento,Partido de General Juan Madariaga,Partido,General Juan Madariaga,06315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,1,3,4,3,2,1,2,1,0,0
13,1077,Departamento,Partido de Tandil,Partido,Tandil,06791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,2,3,3,3,3,2,1,0,0
14,1078,Departamento,Partido de Coronel Suárez,Partido,Coronel Suárez,06203,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,3,2,0,0
15,1079,Departamento,Partido de Adolfo Gonzales Chaves,Partido,Adolfo Gonzales Chaves,06014,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,2,3,3,4,5,4,2,0,0
16,1080,Departamento,Partido de Bahía Blanca,Partido,Bahía Blanca,06056,0,0,0,0,0,0,0,1,2,3,2,1,1,2,3,3,3,3,3,3,2,1,0,0,0,0,0,0,0,1,2,3,2,1,0,0
17,1081,Departamento,Partido de General Alvarado,Partido,General Alvarado,06280,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,0,1,2,2,2,1,1,0,0,0
18,1082,Departamento,Partido de General Pueyrredón,Partido,General Pueyrredón,06357,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,0,1,2,2,2,1,1,0,0,0
19,1083,Departamento,Partido de Mar Chiquita,Partido,Mar Chiquita,06518,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,1,3,4,3,2,1,1,0,0,0
20,1084,Departamento,Partido de Villa Gesell,Partido,Villa Gesell,06868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,0,2,2,2,1,1,1,0,0,0
21,1085,Departamento,Partido de Pinamar,Partido,Pinamar,06644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,0,2,2,2,1,1,2,2,2,1
22,1086,Departamento,Partido de General Lavalle,Partido,General Lavalle,06336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,0,2,3,3,2,2,3,3,2,1
23,1087,Departamento,Partido de La Costa,Partido,La Costa,06420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,0,2,3,3,1,0,1,2,2,1
24,1088,Departamento,Partido de Magdalena,Partido,Magdalena,06505,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,3,4,7,8,8,7,7,8,9,7,5
25,1089,Departamento,Partido de Vicente López,Partido,Vicente López,06861,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5
26,1096,Departamento,Partido de Rauch,Partido,Rauch,06672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,3,5,5,4,3,4,5,5,4
27,1097,Departamento,Partido de Salliqueló,Partido,Salliqueló,06721,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,4,4,4,4,5
