fid,gid,PROVINCIA,DEPARTAMENTO,JUL2020_median,AGO2020_median,SEP2020_median,OCT2020_median,NOV2020_median,DIC2020_median,ENE2021_median,FEB2021_median,MAR2021_median,ABR2021_median,MAY2021_median,JUN2021_median,JUL2021_median,AGO2021_median,SEP2021_median,OCT2021_median,NOV2021_median,DIC2021_median,ENE2022_median,FEB2022_median,MAR2022_median,ABR2022_median,MAY2022_median,JUN2022_median,JUL2022_median,AGO2022_median,SEP2022_median,OCT2022_median,NOV2022_median,DIC2022_median,ENE2023_median,FEB2023_median,MAR2023_median,ABR2023_median,MAY2023_median,JUN2023_median,PROVINCIA
1,1064,Buenos Aires,Saladillo,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,2,4,7,7,7,7,8,7,6,6,Buenos Aires
2,1065,Buenos Aires,Las Flores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,3,5,5,5,6,7,7,5,4,Buenos Aires
3,1066,Buenos Aires,Rojas,0,0,0,0,0,1,2,3,3,3,2,1,0,0,0,0,1,2,2,1,0,0,1,3,5,6,7,8,9,9,9,9,9,9,8,7,Buenos Aires
4,1067,Buenos Aires,Escobar,0,0,0,0,1,2,3,3,2,1,0,1,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5,Buenos Aires
5,1068,Buenos Aires,José C. Paz,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5,Buenos Aires
6,1069,Buenos Aires,San Antonio de Areco,0,0,0,0,1,2,3,3,3,3,2,1,0,0,0,1,3,5,6,5,3,1,1,2,3,4,6,8,9,9,9,9,9,9,7,5,Buenos Aires
7,1070,Buenos Aires,Maipú,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,1,3,5,5,4,3,3,3,2,1,Buenos Aires
8,1072,Buenos Aires,Moreno,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5,Buenos Aires
9,1073,Buenos Aires,La Matanza,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5,Buenos Aires
10,1074,Buenos Aires,General Paz,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,2,3,6,8,7,6,6,8,9,7,5,Buenos Aires
11,1075,Buenos Aires,General Guido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,5,4,3,3,3,2,1,Buenos Aires
12,1076,Buenos Aires,General Juan Madariaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,1,3,4,3,2,1,2,1,0,0,Buenos Aires
13,1077,Buenos Aires,Tandil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,2,3,3,3,3,2,1,0,0,Buenos Aires
14,1078,Buenos Aires,Coronel Suárez,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,3,2,0,0,Buenos Aires
15,1079,Buenos Aires,Adolfo Gonzales Chaves,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,2,3,3,4,5,4,2,0,0,Buenos Aires
16,1080,Buenos Aires,Bahía Blanca,0,0,0,0,0,0,0,1,2,3,2,1,1,2,3,3,3,3,3,3,2,1,0,0,0,0,0,0,0,1,2,3,2,1,0,0,Buenos Aires
17,1081,Buenos Aires,General Alvarado,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,0,1,2,2,2,1,1,0,0,0,Buenos Aires
18,1082,Buenos Aires,General Pueyrredón,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,0,1,2,2,2,1,1,0,0,0,Buenos Aires
19,1083,Buenos Aires,Mar Chiquita,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,1,3,4,3,2,1,1,0,0,0,Buenos Aires
20,1084,Buenos Aires,Villa Gesell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,0,2,2,2,1,1,1,0,0,0,Buenos Aires
21,1085,Buenos Aires,Pinamar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,0,2,2,2,1,1,2,2,2,1,Buenos Aires
22,1086,Buenos Aires,General Lavalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,0,2,3,3,2,2,3,3,2,1,Buenos Aires
23,1087,Buenos Aires,La Costa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,0,2,3,3,1,0,1,2,2,1,Buenos Aires
24,1088,Buenos Aires,Magdalena,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,3,4,7,8,8,7,7,8,9,7,5,Buenos Aires
25,1089,Buenos Aires,Vicente López,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,3,5,6,5,3,1,1,2,3,4,5,7,8,9,9,9,9,9,7,5,Buenos Aires
26,1096,Buenos Aires,Rauch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,3,5,5,4,3,4,5,5,4,Buenos Aires
27,1097,Buenos Aires,Salliqueló,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,4,4,4,4,5,Buenos Aires
28,1098,Buenos Aires,Berazategui,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,3,5,6,5,3,1,0,1,1,3,4,7,8,9,9,9,9,9,7,5,Buenos Aires
29,1099,Buenos Aires,Tornquist,0,0,0,0,0,0,0,1,2,3,2,1,1,1,1,1,2,3,3,2,1,0,0,0,0,0,0,0,0,1,2,3,2,1,0,0,Buenos Aires
30,1100,Buenos Aires,Coronel Pringles,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,1,2,3,3,4,3,2,0,0,Buenos Aires
31,1101,Buenos Aires,General Pinto,0,0,0,0,1,2,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,8,9,8,8,8,9,9,9,9,Buenos Aires
32,1102,Buenos Aires,San Cayetano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,2,1,0,0,0,0,1,2,3,3,4,5,4,2,0,0,Buenos Aires
33,1103,Buenos Aires,Tres Arroyos,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,1,2,3,3,2,1,0,0,0,0,1,2,3,3,3,3,2,1,0,0,Buenos Aires
