key,PROVINCIA,DEPARTAMENTO,VP,FN,FP,VN
buenosaires|saladillo,Buenos Aires,Saladillo,8,0,2,26
buenosaires|lasflores,Buenos Aires,Las Flores,3,0,5,28
buenosaires|rojas,Buenos Aires,Rojas,10,1,0,25
buenosaires|escobar,Buenos Aires,Escobar,0,9,0,27
buenosaires|josecpaz,Buenos Aires,José C. Paz,0,9,0,27
buenosaires|sanantoniodeareco,Buenos Aires,San Antonio de Areco,9,1,1,25
buenosaires|maipu,Buenos Aires,Maipú,0,0,13,23
buenosaires|moreno,Buenos Aires,Moreno,0,9,0,27
buenosaires|lamatanza,Buenos Aires,La Matanza,0,9,0,27
buenosaires|generalpaz,Buenos Aires,General Paz,8,1,5,22
buenosaires|generalguido,Buenos Aires,General Guido,0,0,13,23
buenosaires|generaljuanmadariaga,Buenos Aires,General Juan Madariaga,0,0,7,29
buenosaires|tandil,Buenos Aires,Tandil,0,0,7,29
buenosaires|coronelsuarez,Buenos Aires,Coronel Suárez,0,0,0,36
buenosaires|adolfogonzaleschaves,Buenos Aires,Adolfo Gonzales Chaves,0,0,11,25
buenosaires|bahiablanca,Buenos Aires,Bahía Blanca,0,0,0,36
buenosaires|generalalvarado,Buenos Aires,General Alvarado,0,0,0,36
buenosaires|generalpueyrredon,Buenos Aires,General Pueyrredón,0,0,10,26
buenosaires|marchiquita,Buenos Aires,Mar Chiquita,0,0,0,36
buenosaires|villagesell,Buenos Aires,Villa Gesell,0,0,0,36
buenosaires|pinamar,Buenos Aires,Pinamar,0,0,0,36
buenosaires|generallavalle,Buenos Aires,General Lavalle,0,0,7,29
buenosaires|lacosta,Buenos Aires,La Costa,0,0,0,36
buenosaires|magdalena,Buenos Aires,Magdalena,8,1,2,25
buenosaires|vicentelopez,Buenos Aires,Vicente López,0,9,0,27
buenosaires|rauch,Buenos Aires,Rauch,0,0,13,23
buenosaires|salliquelo,Buenos Aires,Salliqueló,0,0,0,36
buenosaires|berazategui,Buenos Aires,Berazategui,0,9,0,27
buenosaires|tornquist,Buenos Aires,Tornquist,0,0,0,36
buenosaires|coronelpringles,Buenos Aires,Coronel Pringles,0,0,6,30
buenosaires|generalpinto,Buenos Aires,General Pinto,7,3,0,26
buenosaires|sancayetano,Buenos Aires,San Cayetano,0,0,7,29
buenosaires|tresarroyos,Buenos Aires,Tres Arroyos,0,0,10,26
buenosaires|coroneldorrego,Buenos Aires,Coronel Dorrego,0,0,0,36
buenosaires|necochea,Buenos Aires,Necochea,0,0,13,23
buenosaires|lezama,Buenos Aires,Lezama,7,0,3,26
buenosaires|chascomus,Buenos Aires,Chascomús,7,1,6,22
buenosaires|puntaindio,Buenos Aires,Punta Indio,8,1,2,25
buenosaires|campana,Buenos Aires,Campana,7,5,1,23
buenosaires|adolfoalsina,Buenos Aires,Adolfo Alsina,0,0,0,36
buenosaires|pellegrini,Buenos Aires,Pellegrini,0,3,0,33
buenosaires|puan,Buenos Aires,Puán,0,0,0,36
buenosaires|villarino,Buenos Aires,Villarino,0,0,7,29
buenosaires|generalvillegas,Buenos Aires,General Villegas,4,6,3,23
buenosaires|pergamino,Buenos Aires,Pergamino,10,1,4,21
buenosaires|castelli,Buenos Aires,Castelli,6,0,7,23
buenosaires|almirantebrown,Buenos Aires,Almirante Brown,0,9,0,27
buenosaires|presidenteperon,Buenos Aires,Presidente Perón,0,9,0,27
buenosaires|brandsen,Buenos Aires,Brandsen,8,1,2,25
buenosaires|carloscasares,Buenos Aires,Carlos Casares,0,5,0,31
buenosaires|carlostejedor,Buenos Aires,Carlos Tejedor,1,3,9,23
buenosaires|25demayo,Buenos Aires,25 de Mayo,8,0,5,23
buenosaires|9dejulio,Buenos Aires,9 de Julio,9,0,5,22
buenosaires|pehuajo,Buenos Aires,Pehuajó,2,0,3,31
buenosaires|trenquelauquen,Buenos Aires,Trenque Lauquen,0,3,0,33
buenosaires|generalbelgrano,Buenos Aires,General Belgrano,7,0,4,25
buenosaires|monte,Buenos Aires,Monte,7,0,3,26
buenosaires|roqueperez,Buenos Aires,Roque Pérez,7,0,6,23
buenosaires|olavarria,Buenos Aires,Olavarría,0,0,0,36
buenosaires|merlo,Buenos Aires,Merlo,0,9,0,27
buenosaires|estebanecheverria,Buenos Aires,Esteban Echeverría,0,9,0,27
buenosaires|arrecifes,Buenos Aires,Arrecifes,9,0,5,22
buenosaires|capitansarmiento,Buenos Aires,Capitán Sarmiento,9,0,4,23
buenosaires|carmendeareco,Buenos Aires,Carmen de Areco,9,0,4,23
buenosaires|salto,Buenos Aires,Salto,11,0,0,25
buenosaires|exaltaciondelacruz,Buenos Aires,Exaltación de la Cruz,9,1,4,22
buenosaires|sanmiguel,Buenos Aires,San Miguel,0,9,0,27
buenosaires|sanandresdegiles,Buenos Aires,San Andrés de Giles,9,0,4,23
buenosaires|junin,Buenos Aires,Junín,11,0,2,23
buenosaires|mercedes,Buenos Aires,Mercedes,9,0,4,23
buenosaires|pilar,Buenos Aires,Pilar,0,10,0,26
buenosaires|lujan,Buenos Aires,Luján,9,1,4,22
buenosaires|hurlingham,Buenos Aires,Hurlingham,0,9,0,27
buenosaires|moron,Buenos Aires,Morón,0,9,0,27
buenosaires|chacabuco,Buenos Aires,Chacabuco,10,0,0,26
buenosaires|malvinasargentinas,Buenos Aires,Malvinas Argentinas,0,9,0,27
buenosaires|generalsanmartin,Buenos Aires,General San Martín,0,9,0,27
buenosaires|lincoln,Buenos Aires,Lincoln,9,0,4,23
buenosaires|ituzaingo,Buenos Aires,Ituzaingó,0,9,0,27
buenosaires|generalrodriguez,Buenos Aires,General Rodríguez,8,1,5,22
buenosaires|suipacha,Buenos Aires,Suipacha,10,0,4,22
buenosaires|tresdefebrero,Buenos Aires,Tres de Febrero,0,9,0,27
buenosaires|chivilcoy,Buenos Aires,Chivilcoy,10,0,0,26
buenosaires|alberti,Buenos Aires,Alberti,9,0,1,26
buenosaires|bragado,Buenos Aires,Bragado,9,0,1,26
buenosaires|generallasheras,Buenos Aires,General Las Heras,9,0,1,26
buenosaires|marcospaz,Buenos Aires,Marcos Paz,8,1,5,22
buenosaires|generalviamonte,Buenos Aires,General Viamonte,9,0,1,26
buenosaires|ezeiza,Buenos Aires,Ezeiza,0,9,0,27
