key,PROVINCIA,DEPARTAMENTO,VP,FN,FP,VN
buenosaires|saladillo,Buenos Aires,Saladillo,8,0,2,26
buenosaires|lasflores,Buenos Aires,Las Flores,8,0,0,28
buenosaires|rojas,Buenos Aires,Rojas,10,2,0,24
buenosaires|escobar,Buenos Aires,Escobar,0,13,0,23
buenosaires|josecpaz,Buenos Aires,José C. Paz,0,9,0,27
buenosaires|sanantoniodeareco,Buenos Aires,San Antonio de Areco,9,1,1,25
buenosaires|maipu,Buenos Aires,Maipú,0,0,13,23
buenosaires|moreno,Buenos Aires,Moreno,0,9,0,27
buenosaires|lamatanza,Buenos Aires,La Matanza,0,9,0,27
buenosaires|generalpaz,Buenos Aires,General Paz,8,1,5,22
buenosaires|generalguido,Buenos Aires,General Guido,1,0,12,23
buenosaires|generaljuanmadariaga,Buenos Aires,General Juan Madariaga,0,0,7,29
buenosaires|tandil,Buenos Aires,Tandil,0,0,7,29
buenosaires|coronelsuarez,Buenos Aires,Coronel Suárez,0,0,0,36
buenosaires|adolfogonzaleschaves,Buenos Aires,Adolfo Gonzales Chaves,0,0,11,25
buenosaires|bahiablanca,Buenos Aires,Bahía Blanca,0,0,0,36
buenosaires|generalalvarado,Buenos Aires,General Alvarado,0,0,0,36
buenosaires|generalpueyrredon,Buenos Aires,General Pueyrredón,0,0,10,26
buenosaires|marchiquita,Buenos Aires,Mar Chiquita,0,0,0,36
buenosaires|villagesell,Buenos Aires,Villa Gesell,0,0,0,36
buenosaires|pinamar,Buenos Aires,Pinamar,0,0,0,36
buenosaires|generallavalle,Buenos Aires,General Lavalle,0,0,7,29
buenosaires|lacosta,Buenos Aires,La Costa,0,0,0,36
buenosaires|magdalena,Buenos Aires,Magdalena,8,1,2,25
buenosaires|vicentelopez,Buenos Aires,Vicente López,0,9,0,27
buenosaires|rauch,Buenos Aires,Rauch,3,0,10,23
buenosaires|salliquelo,Buenos Aires,Salliqueló,0,3,0,33
buenosaires|berazategui,Buenos Aires,Berazategui,0,9,0,27
buenosaires|tornquist,Buenos Aires,Tornquist,0,0,0,36
buenosaires|coronelpringles,Buenos Aires,Coronel Pringles,0,0,6,30
buenosaires|generalpinto,Buenos Aires,General Pinto,7,4,0,25
buenosaires|sancayetano,Buenos Aires,San Cayetano,0,0,7,29
buenosaires|tresarroyos,Buenos Aires,Tres Arroyos,0,0,10,26
buenosaires|coroneldorrego,Buenos Aires,Coronel Dorrego,0,0,0,36
buenosaires|necochea,Buenos Aires,Necochea,0,0,13,23
buenosaires|lezama,Buenos Aires,Lezama,7,1,3,25
buenosaires|chascomus,Buenos Aires,Chascomús,8,1,5,22
buenosaires|puntaindio,Buenos Aires,Punta Indio,8,1,2,25
buenosaires|campana,Buenos Aires,Campana,7,8,1,20
buenosaires|adolfoalsina,Buenos Aires,Adolfo Alsina,0,0,0,36
buenosaires|pellegrini,Buenos Aires,Pellegrini,0,3,0,33
buenosaires|puan,Buenos Aires,Puán,0,0,0,36
buenosaires|villarino,Buenos Aires,Villarino,0,2,7,27
buenosaires|generalvillegas,Buenos Aires,General Villegas,4,7,3,22
buenosaires|pergamino,Buenos Aires,Pergamino,11,3,3,19
buenosaires|castelli,Buenos Aires,Castelli,7,1,6,22
buenosaires|almirantebrown,Buenos Aires,Almirante Brown,0,9,0,27
buenosaires|presidenteperon,Buenos Aires,Presidente Perón,0,9,0,27
buenosaires|brandsen,Buenos Aires,Brandsen,8,1,2,25
buenosaires|carloscasares,Buenos Aires,Carlos Casares,0,9,0,27
buenosaires|carlostejedor,Buenos Aires,Carlos Tejedor,6,3,4,23
buenosaires|25demayo,Buenos Aires,25 de Mayo,9,0,4,23
buenosaires|9dejulio,Buenos Aires,9 de Julio,9,0,5,22
buenosaires|pehuajo,Buenos Aires,Pehuajó,4,1,1,30
buenosaires|trenquelauquen,Buenos Aires,Trenque Lauquen,0,3,0,33
buenosaires|generalbelgrano,Buenos Aires,General Belgrano,7,0,4,25
buenosaires|monte,Buenos Aires,Monte,8,1,2,25
buenosaires|roqueperez,Buenos Aires,Roque Pérez,8,0,5,23
buenosaires|olavarria,Buenos Aires,Olavarría,0,0,0,36
buenosaires|merlo,Buenos Aires,Merlo,0,9,0,27
buenosaires|estebanecheverria,Buenos Aires,Esteban Echeverría,0,9,0,27
buenosaires|arrecifes,Buenos Aires,Arrecifes,11,2,3,20
buenosaires|capitansarmiento,Buenos Aires,Capitán Sarmiento,9,1,4,22
buenosaires|carmendeareco,Buenos Aires,Carmen de Areco,10,0,3,23
buenosaires|salto,Buenos Aires,Salto,11,0,0,25
buenosaires|exaltaciondelacruz,Buenos Aires,Exaltación de la Cruz,9,1,4,22
buenosaires|sanmiguel,Buenos Aires,San Miguel,0,9,0,27
buenosaires|sanandresdegiles,Buenos Aires,San Andrés de Giles,9,1,4,22
buenosaires|junin,Buenos Aires,Junín,11,0,2,23
buenosaires|mercedes,Buenos Aires,Mercedes,9,0,4,23
buenosaires|pilar,Buenos Aires,Pilar,0,10,0,26
buenosaires|lujan,Buenos Aires,Luján,9,1,4,22
buenosaires|hurlingham,Buenos Aires,Hurlingham,0,9,0,27
buenosaires|moron,Buenos Aires,Morón,0,9,0,27
buenosaires|chacabuco,Buenos Aires,Chacabuco,10,1,0,25
buenosaires|malvinasargentinas,Buenos Aires,Malvinas Argentinas,0,9,0,27
buenosaires|generalsanmartin,Buenos Aires,General San Martín,0,9,0,27
buenosaires|lincoln,Buenos Aires,Lincoln,10,0,3,23
buenosaires|ituzaingo,Buenos Aires,Ituzaingó,0,9,0,27
buenosaires|generalrodriguez,Buenos Aires,General Rodríguez,9,1,4,22
buenosaires|suipacha,Buenos Aires,Suipacha,10,0,4,22
buenosaires|tresdefebrero,Buenos Aires,Tres de Febrero,0,9,0,27
buenosaires|chivilcoy,Buenos Aires,Chivilcoy,10,0,0,26
buenosaires|alberti,Buenos Aires,Alberti,10,0,0,26
buenosaires|bragado,Buenos Aires,Bragado,10,1,0,25
buenosaires|generallasheras,Buenos Aires,General Las Heras,9,1,1,25
buenosaires|marcospaz,Buenos Aires,Marcos Paz,9,1,4,22
buenosaires|generalviamonte,Buenos Aires,General Viamonte,10,1,0,25
buenosaires|ezeiza,Buenos Aires,Ezeiza,0,9,0,27
buenosaires|florenciovarela,Buenos Aires,Florencio Varela,0,9,0,27
buenosaires|navarro,Buenos Aires,Navarro,10,0,0,26
buenosaires|canuelas,Buenos Aires,Cañuelas,7,3,1,25
buenosaires|sanvicente,Buenos Aires,San Vicente,8,1,2,25
buenosaires|lobos,Buenos Aires,Lobos,10,0,0,26
buenosaires|generalalvear,Buenos Aires,General Alvear,0,8,0,28
buenosaires|quilmes,Buenos Aires,Quilmes,0,9,0,27
buenosaires|generallamadrid,Buenos Aires,General La Madrid,0,0,10,26
buenosaires|bolivar,Buenos Aires,Bolívar,0,6,0,30
buenosaires|balcarce,Buenos Aires,Balcarce,0,0,8,28
buenosaires|tapalque,Buenos Aires,Tapalqué,0,7,0,29
buenosaires|hipolitoyrigoyen,Buenos Aires,Hipólito Yrigoyen,0,2,0,34
buenosaires|dolores,Buenos Aires,Dolores,3,0,10,23
buenosaires|azul,Buenos Aires,Azul,0,3,7,26
buenosaires|daireaux,Buenos Aires,Daireaux,0,3,0,33
buenosaires|treslomas,Buenos Aires,Tres Lomas,0,3,0,33
buenosaires|ayacucho,Buenos Aires,Ayacucho,1,0,12,23
buenosaires|guamini,Buenos Aires,Guaminí,0,3,9,24
buenosaires|ensenada,Buenos Aires,Ensenada,0,9,0,27
buenosaires|laprida,Buenos Aires,Laprida,0,0,13,23
buenosaires|sanisidro,Buenos Aires,San Isidro,0,9,0,27
buenosaires|benitojuarez,Buenos Aires,Benito Juárez,0,0,7,29
buenosaires|colon,Buenos Aires,Colón,10,2,0,24
buenosaires|saavedra,Buenos Aires,Saavedra,0,0,10,26
buenosaires|montehermoso,Buenos Aires,Monte Hermoso,0,0,0,36
buenosaires|loberia,Buenos Aires,Lobería,0,0,0,36
buenosaires|berisso,Buenos Aires,Berisso,3,6,1,26
buenosaires|tordillo,Buenos Aires,Tordillo,1,0,18,17
buenosaires|zarate,Buenos Aires,Zárate,6,12,1,17
buenosaires|ramallo,Buenos Aires,Ramallo,9,6,1,20
buenosaires|sannicolas,Buenos Aires,San Nicolás,10,5,3,18
buenosaires|leandronalem,Buenos Aires,Leandro N. Alem,10,1,3,22
buenosaires|generalarenales,Buenos Aires,General Arenales,11,1,2,22
buenosaires|patagones,Buenos Aires,Patagones,2,0,18,16
buenosaires|coroneldemarinaleonardorosales,Buenos Aires,Coronel de Marina Leonardo Rosales,0,0,0,36
buenosaires|baradero,Buenos Aires,Baradero,9,9,4,14
buenosaires|sanpedro,Buenos Aires,San Pedro,9,5,5,17
buenosaires|florentinoameghino,Buenos Aires,Florentino Ameghino,4,6,4,22
buenosaires|lanus,Buenos Aires,Lanús,0,9,0,27
buenosaires|lomasdezamora,Buenos Aires,Lomas de Zamora,0,9,0,27
buenosaires|avellaneda,Buenos Aires,Avellaneda,0,9,0,27
buenosaires|laplata,Buenos Aires,La Plata,8,1,2,25
buenosaires|pila,Buenos Aires,Pila,7,0,3,26
entrerios|victoria,Entre Rios,Victoria,8,9,8,11
entrerios|gualeguay,Entre Rios,Gualeguay,8,9,8,11
santafe|constitucion,Santa Fe,Constitución,10,9,6,11
santafe|rosario,Santa Fe,Rosario,10,8,6,12
santafe|iriondo,Santa Fe,Iriondo,10,6,6,14
